freq,unit,s_adj,na_item,geo,time,values
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1975-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1975-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1975-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1975-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1976-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1976-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1976-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1976-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1977-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1977-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1977-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1977-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1978-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1978-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1978-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1978-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1979-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1979-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1979-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1979-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1980-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1980-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1980-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1980-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1981-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1981-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1981-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1981-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1982-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1982-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1982-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1982-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1983-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1983-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1983-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1983-10-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1984-01-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1984-04-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1984-07-01,NA
Q,CLV_PCH_PRE,SCA,B1GQ,RO,1984-10-01,NA
