freq,unit,sector,na_item,geo,time,values
A,PC_GDP,S13,GD,RO,1995-01-01,6.6
A,PC_GDP,S13,GD,RO,1996-01-01,10.6
A,PC_GDP,S13,GD,RO,1997-01-01,15.1
A,PC_GDP,S13,GD,RO,1998-01-01,16.8
A,PC_GDP,S13,GD,RO,1999-01-01,21.7
A,PC_GDP,S13,GD,RO,2000-01-01,22.5
A,PC_GDP,S13,GD,RO,2001-01-01,25.9
A,PC_GDP,S13,GD,RO,2002-01-01,24.8
A,PC_GDP,S13,GD,RO,2003-01-01,22.1
A,PC_GDP,S13,GD,RO,2004-01-01,18.9
A,PC_GDP,S13,GD,RO,2005-01-01,15.9
A,PC_GDP,S13,GD,RO,2006-01-01,12.4
A,PC_GDP,S13,GD,RO,2007-01-01,11.9
A,PC_GDP,S13,GD,RO,2008-01-01,12.3
A,PC_GDP,S13,GD,RO,2009-01-01,21.8
A,PC_GDP,S13,GD,RO,2010-01-01,29
A,PC_GDP,S13,GD,RO,2011-01-01,32.3
A,PC_GDP,S13,GD,RO,2012-01-01,35.4
A,PC_GDP,S13,GD,RO,2013-01-01,37.8
A,PC_GDP,S13,GD,RO,2014-01-01,39.1
A,PC_GDP,S13,GD,RO,2015-01-01,37.7
A,PC_GDP,S13,GD,RO,2016-01-01,37.8
A,PC_GDP,S13,GD,RO,2017-01-01,35.3
A,PC_GDP,S13,GD,RO,2018-01-01,34.6
A,PC_GDP,S13,GD,RO,2019-01-01,35.2
A,PC_GDP,S13,GD,RO,2020-01-01,46.9
A,PC_GDP,S13,GD,RO,2021-01-01,48.6
A,PC_GDP,S13,GD,RO,2022-01-01,48.1
A,PC_GDP,S13,GD,RO,2023-01-01,49.3
A,PC_GDP,S13,GD,RO,2024-01-01,54.8
